ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 00:00:00,24776.05,24853.85,24769.65,24850.55,17240
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 01:00:00,24850.75,24869.65,24850.75,24868.15,15218
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 02:00:00,24868.05,24901.35,24866.05,24889.35,12056
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 03:00:00,24889.45,24915.55,24879.45,24908.25,8406
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 04:00:00,24907.75,24919.95,24902.55,24911.15,6976
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 05:00:00,24911.45,24942.15,24907.15,24940.35,9158
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 06:00:00,24940.45,24981.95,24937.9,24953.35,11374
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 07:00:00,24953.95,24959.85,24930.1,24933.2,10742
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 08:00:00,24933.0,24957.35,24924.95,24943.1,21292
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 09:00:00,24943.0,24962.0,24930.15,24940.1,15199
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 10:00:00,24939.5,24969.05,24930.75,24932.55,11976
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 11:00:00,24932.75,24948.75,24869.25,24883.75,29019
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 12:00:00,24884.95,24889.75,24641.85,24652.45,57248
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 13:00:00,24652.85,24769.35,24635.75,24742.15,79458
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 14:00:00,24742.05,24756.15,24583.55,24654.45,83934
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 15:00:00,24654.35,24703.15,24631.95,24670.65,69047
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 16:00:00,24670.25,24683.15,24602.2,24616.5,56582
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 17:00:00,24615.9,24655.6,24566.95,24651.7,50260
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 18:00:00,24652.0,24687.4,24509.15,24514.7,74727
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 19:00:00,24514.6,24576.6,24417.6,24426.85,56260
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 20:00:00,24426.73,24453.02,24340.77,24381.37,29812
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 22:00:00,24386.36,24404.9,24338.55,24369.55,9684
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-18 23:00:00,24369.75,24420.05,24368.15,24392.85,10875
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 00:00:00,24392.55,24419.25,24362.85,24395.25,29028
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 01:00:00,24395.75,24446.25,24380.95,24415.75,28307
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 02:00:00,24415.05,24500.35,24376.35,24471.55,28355
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 03:00:00,24471.65,24491.05,24439.25,24439.75,17134
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 04:00:00,24439.65,24439.65,24386.05,24405.55,19531
