ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-09-28 21:00:00,12274.89,12291.89,11859.14,11995.49,59883
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-09-29 21:00:00,12016.32,12132.07,11912.82,11967.92,62987
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-02 21:00:00,11868.51,12267.61,11803.01,12216.11,54387
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-03 21:00:00,12266.66,12668.91,12266.66,12646.76,55089
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-04 21:00:00,12602.95,12657.05,12447.7,12592.55,55653
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-05 21:00:00,12661.96,12694.96,12410.71,12426.56,58181
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-06 21:00:00,12413.99,12490.74,12187.59,12236.09,54497
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-09 21:00:00,12165.77,12404.52,12112.77,12292.37,54877
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-10 21:00:00,12276.02,12309.02,12088.77,12143.12,65924
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-11 21:00:00,12141.82,12293.57,12094.07,12154.92,63965
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-12 21:00:00,12178.42,12488.52,11987.67,12461.52,63787
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-13 21:00:00,12428.5,12673.75,12348.1,12357.1,68027
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-16 21:00:00,12395.9,12713.65,12365.4,12636.0,52712
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-17 21:00:00,12722.25,12928.0,12647.25,12809.85,59094
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-18 21:00:00,12882.05,12940.05,12662.15,12728.65,57828
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-19 21:00:00,12713.7,12814.95,12620.95,12657.8,59589
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-20 21:00:00,12613.86,12842.96,12537.11,12842.46,58964
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-23 21:00:00,12904.41,13018.81,12738.81,12923.81,61715
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-24 21:00:00,12931.75,13093.75,12780.75,13090.75,48841
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-25 21:00:00,13032.8,13214.6,13012.6,13128.6,53162
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-26 21:00:00,13197.76,13256.76,13048.76,13163.76,55320
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-27 21:00:00,13110.98,13349.98,13044.98,13333.98,50990
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-30 21:00:00,13317.23,13323.23,13212.23,13251.23,41769
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-10-31 21:00:00,13289.43,13442.43,13274.43,13350.43,46391
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-01 21:00:00,13348.61,13415.61,13130.61,13142.61,46807
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-02 21:00:00,13118.0,13195.0,13016.0,13124.0,49618
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-03 21:00:00,13111.28,13543.28,13095.28,13484.28,56613
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-06 21:00:00,13428.4,13612.4,13386.4,13541.4,43654
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-07 21:00:00,13549.33,13701.33,13487.33,13646.33,36852
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-08 21:00:00,13630.41,13692.41,13555.41,13580.41,45364
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-09 21:00:00,13577.72,14185.72,13570.72,14185.72,47182
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-10 21:00:00,14183.84,14332.84,14147.84,14314.84,47221
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-13 21:00:00,14285.23,14434.23,14244.23,14246.23,39174
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-14 21:00:00,14262.31,14443.31,14124.31,14272.31,51837
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-15 21:00:00,14231.5,14385.5,14183.5,14238.5,43949
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-16 21:00:00,14259.96,14383.96,14146.96,14326.96,42901
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-17 21:00:00,14320.35,14457.35,14298.35,14439.35,38003
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-20 21:00:00,14416.89,14432.89,14320.89,14409.89,37549
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-21 21:00:00,14417.19,14485.19,14341.19,14481.19,33603
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-22 21:00:00,14489.5,14489.5,14359.5,14434.5,34131
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-23 21:00:00,14452.98,14573.98,14440.98,14553.98,18051
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-24 21:00:00,14532.43,14582.43,14496.43,14545.43,20684
