date_creation,ticker,rr_tp1,rr_tp2,statut_final,r_trailing,resolution_time_est,prix_entree,stop_loss_init
2023-06-27 02:30:02,EUR/JPY,1.3815789473684523,5.171052631579018,OBJECTIF ATTEINT,1.3815789473684523,2023-06-27 10:15:57,156.63,155.87
2023-06-29 21:30:01,GBP/USD,1.487179487179531,2.474358974359048,INVALIDÉE,-1.0,2023-06-30 05:15:56,1.2611,1.2689
2023-07-05 16:35:38,GBP/JPY,1.9710144927536493,3.811594202898557,INVALIDÉE,-1.0,2023-07-06 00:21:33,183.79,183.1
2023-07-10 09:58:52,USD/CHF,2.4074074074074274,4.518518518518548,OBJECTIF ATTEINT,2.4074074074074274,2023-07-10 17:44:47,0.8892,0.8946
2023-07-10 12:33:04,EUR/JPY,1.5384615384614655,5.512820512820245,OBJECTIF ATTEINT,1.5384615384614655,2023-07-10 20:18:59,155.98,156.37
2023-07-11 00:30:09,GBP/USD,2.0,6.7222222222221335,OBJECTIF ATTEINT,2.0,2023-07-11 08:16:04,1.2867,1.2849
2023-07-12 03:30:09,CHF/JPY,1.805555555555424,5.305555555555345,INVALIDÉE,-1.0,2023-07-12 11:16:04,158.89,159.25
2023-07-12 06:30:14,NZD/USD,2.235294117647174,3.647058823529565,INVALIDÉE,-1.0,2023-07-12 14:16:09,0.6223,0.6206
2023-07-12 18:35:53,GBP/USD,2.0000000000000417,2.471698113207633,OBJECTIF ATTEINT,2.0000000000000417,2023-07-13 02:21:48,1.2988,1.2935
2023-07-20 05:29:55,GBP/JPY,1.7777777777779649,3.037037037037322,OBJECTIF ATTEINT,1.7777777777779649,2023-07-20 13:15:50,180.3,180.57
2023-07-20 09:32:11,USD/CAD,1.7500000000000278,7.0499999999999945,INVALIDÉE,-1.0,2023-07-20 17:18:06,1.3127,1.3147
2023-07-25 08:32:44,AUD/JPY,2.136363636363707,4.272727272727349,INVALIDÉE,-1.0,2023-07-25 16:18:39,95.71,95.49
2023-07-30 22:29:55,NASDAQ100 - MINI NASDAQ100 FULL0926,2.198547215496389,4.329297820823303,INVALIDÉE,-1.0,2023-07-31 06:15:50,15884.0,15842.7
2023-08-01 21:29:34,EUR/GBP,2.909090909090918,5.272727272727346,INVALIDÉE,-1.0,2023-08-02 05:15:29,0.8602,0.8591
2023-08-04 18:35:10,EUR/GBP,1.5882352941177391,5.823529411764978,INVALIDÉE,-1.0,2023-08-05 02:21:05,0.8634,0.8617
2023-08-08 15:37:30,NASDAQ100 INDEX,1.700553741303465,3.4682663637655224,INVALIDÉE,-1.0,2023-08-08 23:23:25,15168.87,15239.3
2023-08-09 14:38:43,USD/CHF,1.357142857142908,3.0000000000001585,INVALIDÉE,-1.0,2023-08-09 22:24:38,0.8764,0.875
2023-08-10 00:30:02,USD/JPY,2.487804878048757,7.268292682926865,OBJECTIF ATTEINT,2.487804878048757,2023-08-10 08:15:57,143.77,143.36
2023-08-10 21:29:38,GBP/CHF,2.0,3.058823529411757,INVALIDÉE,-1.0,2023-08-11 05:15:33,1.1109,1.1126
2023-08-13 21:29:38,GBP/JPY,2.3137254901961333,4.862745098039282,INVALIDÉE,-1.0,2023-08-14 05:15:33,184.16,183.65
2023-08-17 08:32:55,GBP/USD,2.538461538461276,4.23076923076885,INVALIDÉE,-1.0,2023-08-17 16:18:50,1.2734,1.2721
2023-08-17 14:37:57,DAX40 PERF INDEX,1.8201295465869356,5.081714000996501,OBJECTIF ATTEINT,1.8201295465869356,2023-08-17 22:23:52,15710.35,15810.7
2023-08-21 10:57:59,EUR/JPY,2.307086614173215,8.275590551181029,INVALIDÉE,-1.0,2023-08-21 18:43:54,159.03,157.76
2023-08-21 21:29:49,GBP/USD,1.3999999999999555,3.0,INVALIDÉE,-1.0,2023-08-22 05:15:44,1.2759,1.2739
2023-08-23 03:24:27,AUD/USD,2.0,4.299999999999967,INVALIDÉE,-1.0,2023-08-23 11:10:22,0.6438,0.6428
2023-08-24 12:27:34,GBP/USD,2.928571428571746,8.214285714286666,OBJECTIF ATTEINT,2.928571428571746,2023-08-24 20:13:29,1.2656,1.267
2023-08-28 10:27:42,GBP/CHF,1.7777777777776818,8.833333333333231,INVALIDÉE,-1.0,2023-08-28 18:13:37,1.1111,1.1129
2023-09-06 18:30:59,USD/CAD,2.222222222222469,11.833333333334693,INVALIDÉE,-1.0,2023-09-07 02:16:54,1.3658,1.364
2023-09-07 08:27:46,NASDAQ100 - MINI NASDAQ100 FULL0926,2.589393939393934,4.480303030303041,INVALIDÉE,-1.0,2023-09-07 16:13:41,15295.5,15361.5
2023-09-15 16:31:35,GBP/CHF,1.4285714285713609,6.642857142856882,OBJECTIF ATTEINT,1.4285714285713609,2023-09-16 00:17:30,1.111,1.1124
2023-09-20 09:26:57,NZD/USD,1.777777777777915,3.2222222222223937,INVALIDÉE,-1.0,2023-09-20 17:12:52,0.5942,0.5924
2023-09-21 04:25:56,USD/CHF,1.6111111111110974,5.666666666666584,OBJECTIF ATTEINT,1.6111111111110974,2023-09-21 12:11:51,0.9002,0.8984
2023-09-22 06:40:19,AUD/JPY,2.333333333333365,5.05000000000005,INVALIDÉE,-1.0,2023-09-22 14:26:14,95.25,94.65
2023-09-25 13:26:59,NZD/USD,1.8571428571431745,3.5714285714290472,INVALIDÉE,-1.0,2023-09-25 21:12:54,0.5961,0.5954
2023-09-26 17:30:08,EUR/USD,2.0833333333331328,8.166666666665895,OBJECTIF ATTEINT,2.0833333333331328,2023-09-27 01:16:03,1.0573,1.0585
2023-10-02 07:26:42,NASDAQ100 - MINI NASDAQ100 FULL0926,2.1124068055821272,3.7382909577518864,INVALIDÉE,-1.0,2023-10-02 15:12:37,15001.5,14949.19
2023-10-02 22:26:09,NASDAQ100 - MINI NASDAQ100 FULL0926,2.4232548359966617,4.211522287636699,INVALIDÉE,-1.0,2023-10-03 06:12:04,14996.75,14949.19
2023-10-03 15:33:06,USD/CHF,2.8666666666666814,5.733333333333326,INVALIDÉE,-1.0,2023-10-03 23:19:01,0.9225,0.9195
2023-10-06 20:25:25,AUD/USD,1.9166666666667669,3.750000000000116,INVALIDÉE,-1.0,2023-10-07 04:11:20,0.6386,0.6374
2023-10-11 00:25:33,NZD/USD,1.6428571428571457,4.74999999999995,INVALIDÉE,-1.0,2023-10-11 08:11:28,0.6051,0.6023
2023-10-12 00:25:25,EUR/JPY,2.066666666666654,4.383333333333368,INVALIDÉE,-1.0,2023-10-12 08:11:20,158.43,157.83
2023-10-12 03:24:35,AUD/JPY,2.714285714285772,5.071428571428608,INVALIDÉE,-1.0,2023-10-12 11:10:30,95.71,95.57
2023-10-12 09:27:17,DAX40 FULL0926,1.8110749185667752,4.592833876221499,INVALIDÉE,-1.0,2023-10-12 17:13:12,15673.0,15596.25
2023-10-18 19:30:34,DAX40 FULL0926,1.4912280701754386,10.32157894736842,OBJECTIF ATTEINT,1.4912280701754386,2023-10-19 03:16:29,15152.0,15209.0
2023-10-19 09:44:55,DAX40 PERF INDEX,1.6660641118341677,7.574957821161679,INVALIDÉE,-1.0,2023-10-19 17:30:50,15046.14,15212.1
2023-10-23 16:50:34,DAX40 FULL0926,2.173374613003096,3.170804953560372,INVALIDÉE,-1.0,2023-10-24 00:36:29,14886.0,15209.0
2023-10-24 20:40:02,USD/CAD,2.381818181818136,5.399999999999912,INVALIDÉE,-1.0,2023-10-25 04:25:57,1.374,1.3685
2023-11-06 14:27:30,EUR/CHF,1.6315789473684057,7.2105263157894495,INVALIDÉE,-1.0,2023-11-06 22:13:25,0.9649,0.963
2023-11-08 16:56:21,CHF/JPY,1.3758865248226968,3.865248226950376,OBJECTIF ATTEINT,1.3758865248226968,2023-11-09 00:42:16,167.88,166.47
2023-11-10 21:25:40,EUR/CHF,1.4000000000000663,4.0,OBJECTIF ATTEINT,1.4000000000000663,2023-11-11 05:11:35,0.964,0.963
2023-11-13 04:26:09,USD/CAD,2.636363636363673,3.909090909090918,INVALIDÉE,-1.0,2023-11-13 12:12:04,1.3813,1.3791
2023-11-13 20:30:58,EUR/JPY,1.914893617021233,4.5106382978723,OBJECTIF ATTEINT,1.914893617021233,2023-11-14 04:16:53,162.27,161.8
2023-11-13 21:26:04,CHF/JPY,2.166666666666884,5.541666666667165,OBJECTIF ATTEINT,2.166666666666884,2023-11-14 05:11:59,168.23,167.99
2023-11-14 03:25:15,EUR/CHF,1.473684210526405,7.052631578947774,OBJECTIF ATTEINT,1.473684210526405,2023-11-14 11:11:10,0.9652,0.9633
