date_creation,ticker,asset_class,timeframe,prix_entree,stop_loss_init,tp1_init,tp2_init,rr_tp1,rr_tp2,statut_final,score_force
2023-06-02 03:29:32,GOLD FULL0625,FX/Indices,1H,1999.1,1993.0,,,,,INVALIDÉE,8.0
2023-06-01 17:34:56,SILVER - AUD,FX/Indices,1H,36.31,36.18,36.49,37.34,1.3846153846153553,7.923076923076776,INVALIDÉE,8.6
2023-05-31 14:37:39,SILVER - NZD,FX/Indices,1H,38.9,38.59,39.65,40.48,2.4193548387097152,5.096774193548461,SEUIL PRÉSERVÉ,8.4
2023-05-31 14:37:38,SILVER - AUD,FX/Indices,1H,36.06,35.82,36.35,37.34,1.2083333333333197,5.333333333333294,OBJECTIF ATTEINT,8.6
2023-05-31 12:32:02,SILVER - EUR,FX/Indices,1H,21.83,21.62,22.2,22.74,1.7619047619047894,4.33333333333339,SEUIL PRÉSERVÉ,8.4
2023-05-31 11:32:20,SILVER - CHF,FX/Indices,1H,21.23,21.14,21.44,21.53,2.3333333333333464,3.3333333333333464,OBJECTIF ATTEINT,8.2
2023-05-24 17:35:02,SILVER FULL0725,FX/Indices,1H,23.26,23.0,,,,,SEUIL PRÉSERVÉ,8.4
2023-05-24 15:38:23,SILVER - USD,FX/Indices,1H,23.23,23.32,23.1,22.47,1.4444444444444358,8.444444444444475,OBJECTIF ATTEINT,8.8
2023-05-24 04:30:40,GOLD - GBP,FX/Indices,1H,1591.9,1583.81,1600.63,1607.7,1.0791100123609223,1.9530284301606515,INVALIDÉE,8.0
2023-05-23 05:30:00,GOLD - GBP,FX/Indices,1H,1578.32,1592.26,1547.48,1506.28,2.2123385939741604,5.16786226685794,SEUIL PRÉSERVÉ,8.4
2023-05-22 10:32:47,SILVER - EUR,FX/Indices,1H,22.07,21.96,22.21,22.74,1.2727272727272845,6.090909090909106,INVALIDÉE,7.3
2023-05-22 09:32:30,SILVER - JPY,FX/Indices,1H,3289.0,3252.0,,,,,SEUIL PRÉSERVÉ,7.7
2023-05-19 12:33:16,GOLD - CHF,FX/Indices,1H,1767.1,1773.16,1752.14,1713.66,2.4686468646863666,8.818481848184538,INVALIDÉE,8.6
