date_creation,ticker,asset_class,timeframe,prix_entree,stop_loss_init,tp1_init,tp2_init,rr_tp1,rr_tp2,statut_final,score_force
2026-02-03 11:07:34,ALLIANZ,Actions Europe,1H,382.0,376.4,392.0,394.9,1.7857142857142785,2.303571428571415,SEUIL PRÉSERVÉ,7.9
2026-02-03 10:07:52,SIEMENS,Actions Europe,1H,264.65,263.15,268.52,274.58,2.580000000000003,6.6200000000000045,INVALIDÉE,8.4
2026-01-30 12:09:30,SIEMENS HEALTH,Actions Europe,1H,42.21,43.04,41.29,39.13,1.1084337349397633,3.7108433734939816,SEUIL PRÉSERVÉ,7.7
2026-01-29 16:50:39,SAP,Actions Europe,Journalier,164.34,188.98,133.91,117.46,1.2349837662337673,1.902597402597404,SEUIL PRÉSERVÉ,8.8
2026-01-28 16:52:14,SANOFI,Actions Europe,Journalier,77.86,79.52,73.8,68.39,2.445783132530127,5.704819277108445,INVALIDÉE,8.2
2026-01-28 16:07:18,SIEMENS,Actions Europe,1H,251.02,252.69,246.05,243.0,2.9760479041916383,4.80239520958088,INVALIDÉE,7.9
2026-01-21 11:08:29,ALLIANZ,Actions Europe,1H,370.0,376.4,362.2,344.0,1.2187500000000062,4.062500000000014,SEUIL PRÉSERVÉ,7.5
2026-01-20 15:08:14,ALLIANZ,Actions Europe,1H,371.7,376.0,365.8,355.7,1.372093023255805,3.7209302325581297,OBJECTIF ATTEINT,8.0
2026-01-20 11:09:23,TOTALENERGIES,Actions Europe,1H,56.42,55.89,57.24,57.69,1.547169811320752,2.396226415094327,OBJECTIF ATTEINT,7.7
2026-01-19 16:09:48,SANOFI,Actions Europe,1H,79.08,80.62,77.52,74.9,1.0129870129870104,2.7142857142856984,OBJECTIF ATTEINT,8.6
2026-01-19 11:09:10,LVMH .3,Actions Europe,1H,,594.8,564.1,532.2,,,OBJECTIF ATTEINT,8.2
2026-01-13 16:07:23,SIEMENS,Actions Europe,1H,262.35,258.6,268.8,279.0,1.7199999999999969,4.439999999999994,SEUIL PRÉSERVÉ,8.8
2026-01-06 15:51:32,LVMH .3,Actions Europe,Journalier,,620.9,680.1,736.7,,,INVALIDÉE,8.0
2026-01-06 15:09:01,SIEMENS HEALTH,Actions Europe,1H,45.58,44.93,47.15,48.22,2.415384615384621,4.061538461538471,SEUIL PRÉSERVÉ,8.4
2026-01-06 11:53:40,SAP,Actions Europe,Journalier,201.95,212.48,188.98,163.0,1.231718898385565,3.698955365622031,INVALIDÉE,8.0
2026-01-05 13:08:50,TOTALENERGIES,Actions Europe,1H,56.03,55.29,57.69,60.21,2.2432432432432328,5.648648648648633,INVALIDÉE,8.4
2026-01-05 09:07:46,LVMH .3,Actions Europe,1H,646.9,640.5,665.6,680.1,2.9218750000000173,5.187500000000026,INVALIDÉE,8.4
2025-12-30 14:10:58,SANOFI,Actions Europe,1H,83.0,82.3,83.91,85.07,1.2999999999999898,2.9571428571428355,INVALIDÉE,8.8
2025-12-30 14:10:27,SIEMENS HEALTH,Actions Europe,1H,44.92,44.32,45.58,47.15,1.0999999999999917,3.716666666666653,OBJECTIF ATTEINT,8.8
2025-12-30 14:09:18,LVMH,Actions Europe,1H,,633.7,646.5,650.0,,,OBJECTIF ATTEINT,8.4
2025-12-22 16:09:53,SIEMENS HEALTH,Actions Europe,1H,,44.08,45.58,47.15,,,SEUIL PRÉSERVÉ,7.9
2025-12-19 10:08:38,ALLIANZ,Actions Europe,1H,387.3,383.0,398.1,409.9,2.51162790697674,5.25581395348835,SEUIL PRÉSERVÉ,8.6
2025-12-18 09:09:12,SIEMENS HEALTH,Actions Europe,1H,,43.67,45.58,47.15,,,SEUIL PRÉSERVÉ,8.4
2025-12-17 14:07:38,ALLIANZ,Actions Europe,1H,386.0,382.3,390.5,399.2,1.21621621621622,3.5675675675675755,SEUIL PRÉSERVÉ,8.0
2025-12-16 09:09:07,SIEMENS HEALTH,Actions Europe,1H,44.58,44.1,45.58,47.15,2.083333333333347,5.354166666666703,INVALIDÉE,8.2
2025-12-15 10:45:31,ALLIANZ,Actions Europe,Journalier,383.7,377.5,391.6,409.4,1.2741935483871043,4.145161290322586,OBJECTIF ATTEINT,8.8
2025-12-04 16:08:10,TOTALENERGIES .50,Actions Europe,1H,,56.56,58.62,60.74,,,INVALIDÉE,8.4
2025-12-04 14:08:47,TOTALENERGIES,Actions Europe,1H,57.17,56.53,58.59,61.14,2.218750000000001,6.203124999999993,INVALIDÉE,8.6
2025-12-02 15:08:08,ALLIANZ,Actions Europe,1H,371.4,368.9,374.1,376.4,1.0800000000000185,2.0,INVALIDÉE,8.2
2025-12-02 11:07:18,SIEMENS,Actions Europe,1H,229.15,224.07,238.35,243.0,1.811023622047237,2.7263779527558976,SEUIL PRÉSERVÉ,7.7
2025-11-28 16:08:06,TOTALENERGIES .50,Actions Europe,1H,56.84,56.12,58.62,60.74,2.472222222222193,5.41666666666662,SEUIL PRÉSERVÉ,8.8
2025-11-26 09:08:38,ALLIANZ,Actions Europe,1H,368.8,365.9,373.0,376.4,1.4482758620689449,2.620689655172371,OBJECTIF ATTEINT,8.2
2025-11-19 13:49:07,SAP,Actions Europe,Journalier,206.85,212.48,196.07,192.78,1.914742451154531,2.4991119005328604,SEUIL PRÉSERVÉ,8.2
2025-11-17 12:47:49,SANOFI,Actions Europe,Journalier,89.59,87.59,92.11,95.62,1.259999999999998,3.015000000000001,INVALIDÉE,8.6
2025-11-17 08:43:03,SANOFI INHABER,Actions Europe,Journalier,89.69,88.01,93.48,95.61,2.2559523809523947,3.52380952380954,INVALIDÉE,8.4
2025-11-14 09:08:10,ALLIANZ,Actions Europe,1H,367.6,365.5,372.1,376.4,2.14285714285712,4.190476190476123,INVALIDÉE,8.4
