date_creation,ticker,timeframe,stop_loss_init,tp1_init,tp2_init,statut_final,is_full_dated,commodity
2025-12-01 20:55:50,NATURAL GAS,Journalier,4.846,5.07,5.367,OBJECTIF ATTEINT,False,natural_gas
2025-11-10 04:12:02,NATURAL GAS,1H,4.396,4.607,4.688,INVALIDÉE,False,natural_gas
2025-11-05 15:21:44,NATURAL GAS,1H,4.294,4.396,4.538,INVALIDÉE,False,natural_gas
2025-11-03 21:16:59,NATURAL GAS,1H,4.157,4.416,4.538,SEUIL PRÉSERVÉ,False,natural_gas
2025-09-08 13:17:32,NATURAL GAS,1H,3.13,3.278,3.425,INVALIDÉE,False,natural_gas
2025-09-05 08:18:11,NATURAL GAS,1H,3.085,3.131,3.39,INVALIDÉE,False,natural_gas
2025-08-25 00:41:23,NATURAL GAS,Journalier,2.751,2.535,2.384,INVALIDÉE,False,natural_gas
2025-08-20 04:43:50,NATURAL GAS,Journalier,2.809,2.657,2.535,INVALIDÉE,False,natural_gas
2025-08-04 16:56:50,NATURAL GAS,Journalier,2.965,2.809,2.751,INVALIDÉE,False,natural_gas
2025-07-15 20:18:04,NATURAL GAS,1H,3.471,3.574,3.627,OBJECTIF ATTEINT,False,natural_gas
2025-07-09 10:48:00,NATURAL GAS,Journalier,3.324,3.129,2.911,INVALIDÉE,False,natural_gas
2025-07-01 20:41:36,NATURAL GAS,Journalier,3.454,3.373,3.129,INVALIDÉE,False,natural_gas
2025-06-19 17:12:09,NATURAL GAS,1H,4.002,4.205,4.459,INVALIDÉE,False,natural_gas
2025-06-18 18:18:10,NATURAL GAS,1H,3.917,4.065,4.459,OBJECTIF ATTEINT,False,natural_gas
2025-06-17 12:13:04,NATURAL GAS,1H,3.76,3.917,4.065,SEUIL PRÉSERVÉ,False,natural_gas
2025-06-16 08:15:10,NATURAL GAS,1H,3.661,3.73,3.817,OBJECTIF ATTEINT,False,natural_gas
2025-05-09 14:39:29,NATURAL GAS,1H,3.716,3.851,4.051,SEUIL PRÉSERVÉ,False,natural_gas
